DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
15804,23.468518,8,9136,0.82454028,12603.76314
15806,20.998518,9,14196,0.661101719,14138.41708
15808,22.796153,1,3039,0.849621586,5979.678
15810,9.981333,3,3160,0.729113924,8548.675
15814,37.137187,8,10106,0.640015832,12796.78278
15816,55.936666,9,4931,0.845467451,7713.269061
15820,24.841851,6,3694,0.617217109,4263.188238
15822,50.8248,9,5348,0.895474944,9987.361461
15832,48.23409,8,1861,0.792047286,4821.851
15835,49.731323,9,6050,0.576694215,8498.671609
15837,10.674838,4,9734,0.722210807,13026.383
15839,2.516875,10,1854,0.894822006,4487.877011
15842,38.356666,1,10322,0.82106181,11099.628
15861,26.12,9,15532,0.843484419,16898.94318
15879,11.9335,3,3201,0.883473914,5339.547009
15897,49.40826,10,4489,0.764535531,10608.12839
17001,43.65,9,397466,0.069150569,437316.6337
17013,63.936168,10,21865,0.46974617,19621.065
17042,47.769465,1,33669,0.35929193,28114.456
17050,66.178863,10,11293,0.416806872,10014.38
17088,67.299069,4,10760,0.530111524,11514.649
17174,21.5574,5,51280,0.10475819,44177.323
17272,62.454736,4,10874,0.616240574,10559.05
17380,14.157428,7,77355,0.101493116,76302.30979
17388,52.911219,7,5393,0.587057296,7568.117
17433,59.752396,10,23112,0.570396331,17155.952
17442,64.013333,3,9162,0.883977298,11261.492
17444,64.925217,10,1.50E+04,0.568333333,12885.06037
17446,42.73125,8,3396,0.621319199,2624.117
17486,56.107882,6,30740,0.465387118,19570.873
17495,52.107647,1,6322,0.32094274,11682.99157
17513,34.162875,10,11673,0.523515806,12640.876
17524,24.709,6,17717,0.616300728,15572.717
17541,59.077974,4,26343,0.679383517,18156.395
17614,47.161428,2,62296,0.689129318,43268.902
17616,58.746507,2,9471,0.512828635,9597.744
17653,54.229871,10,16316,0.393785241,16797.624
17662,57.675487,9,25784,0.800380081,23921.462
17665,62.178,5,7595,0.756418697,7837.057
17777,59.445416,4,26910,0.514158305,21503.27751
17867,66.311636,1,8321,0.561591155,9992.749
17873,49.655248,7,57383,0.17130509,32236.90009
17877,42.45234,2,12438,0.17301817,11755.77714
18001,1.744705,4,175407,0.122167302,232884.916
18029,12.123,2,6432,0.615516169,10189.862
18094,9.296923,3,11601,0.431686924,28358.07
18150,8.7075,4,33908,0.632122213,37998.317
18205,9.565714,2,11737,0.471500383,10520.81
18247,17.837058,5,22183,0.347247893,24763.154
18256,13.273333,5,20528,0.474473889,23248.317
18410,5.115833,6,23789,0.790743621,20553.415
18460,16.852857,5,11774,0.842279599,9774.947
18479,72.48125,4,3836,0.498696559,6969.171
18592,14.335714,9,33447,0.571710467,23999.803
18610,6.672857,2,15029,0.583072726,13045.661
18753,13.305,2,69214,0.376571214,50417.773
18756,33.438333,2,24131,0.919273963,16283.69
18785,32.121428,7,9143,0.551132014,9490.382
18860,11.662,3,11687,0.669033969,10060.061
19001,2.889465,8,280054,0.107161476,336772.5586
19022,13.153846,2,21286,0.924692286,22459.667
19050,5.59,7,26976,0.851571767,26077.385
19075,3.209696,9,25804,0.705665788,20169.96
19100,3.011333,5,44700,0.881767338,34548.506
19110,10.146,10,32834,0.923676677,19620.059
19130,0.601818,6,37848,0.954000211,33798.494
19137,2.942222,8,33388,0.95612196,31679.797
19142,4.498611,8,17680,0.73908371,30342.876
19212,7.186285,2,32296,0.596296755,24085.532
19256,7.542962,1,47674,0.854868482,39994.613
19290,7.98375,1,6146,0.772372275,7387.727
19300,30.137777,5,19859,0.743189486,22634.326
19318,,4,29797,0.389233815,25186.522
19355,0.304615,6,31252,0.926980673,26323.5
19364,3.277714,2,17939,0.931434305,22159.149
19392,20.426153,1,10626,0.858366271,13777.02933
19397,80.237647,5,46080,0.928580729,19696.239
19418,,5,20446,0.715054289,14341.123
19450,11.162,9,18105,0.715603424,19729.982
19455,3.585,9,40455,0.278853047,29552.414
19473,7.885357,1,26167,0.940306493,27817.32827
19513,6.425588,1,7837,0.47505423,8495.175
19517,2.307714,6,35461,0.923521615,31338.84246
19532,2.805,10,36544,0.62705232,30433.3584
19533,79.947368,2,7379,0.914080499,16416.837
19548,7.821818,2,43714,0.658141556,31954.652
19573,10.112272,10,45840,0.117364747,28688.35396
19585,1.861739,4,15269,0.888466828,16139.041
19622,2.206571,7,13386,0.870685791,12610.873
19693,68.067307,4,14054,0.908851573,13245.285
19698,1.071428,6,95041,0.428015278,68186.172
19701,7.766285,7,10587,0.817795409,8003.713
19743,3.15,2,32315,0.866470679,29735.47358
19760,13.549642,1,17124,0.979502453,17024.08
19780,14.377575,1,18610,0.831380978,18536.52441
19785,3.655714,4,8891,0.834551794,15404.127
19807,0.74425,2,34322,0.606899365,25582.141
19809,96.621,3,21738,0.80172969,27730.11491
19821,5.081714,7,29496,0.940296989,30067.621
19824,9.205714,2,20419,0.905627112,19124.993
19845,61.717,6,16397,0.216259072,25561.93363
20001,0.601913,7,463219,0.14541502,568024.5052
20011,0.475526,4,93917,0.126995113,73322.08941
20013,5.185283,8,50450,0.233320119,49960.68864
20032,65.264615,3,19255,0.480186964,27026.256
20045,49.026,6,13388,0.225500448,56199.974
20060,57.008372,5,37870,0.089754423,40878.335
20175,47.58125,7,30585,0.616413274,32717.66517
20178,56.140833,3,19375,0.245677419,100112.7
20228,1.8156,3,24035,0.202995631,35638.32102
